front,back
Antigua and Barbuda,St John
Bahamas,Nassau
Barbados,Bridgetown
Belize,Belmopan
Canada,Ottawa
Costa Rica,San Jose
Cuba,Havana
Dominica,Roseau
Dominican Republic,Santo Domingo
El Salvador,San Salvador
Grenada,Saint George's
Guatemala,Guatemala City
Haiti,Port-au-Prince
Honduras,Tegucigalpa
Jamaica,Kingston
Mexico,Mexico City
Nicaragua,Managua
Panama,Panama City
St Kitts and Nevis,Basseterre
St Lucia,Castries
St Vincent and the Grenadines,Kingstown
Trinidad and Tobago,Port of Spain
United States,Washington DC
